t,x,y,s,d,yaw, speed
326,1203.28,1187.71,427.384,5.925,2.66261,49.3797
327,1204.6,1187.77,428.71,5.92333,2.72553,49.4939
328,1206.37,1187.85,430.477,5.92103,2.72553,49.3848
329,1208.13,1187.94,432.245,5.91878,2.72553,49.3848
330,1209.9,1188.02,434.087,5.90121,2.59895,49.3797
331,1211.67,1188.1,435.854,5.88188,2.60182,49.3797
332,1213.43,1188.18,437.622,5.86451,2.46441,49.484
333,1214.76,1188.23,438.947,5.8543,2.27476,49.3561
334,1216.52,1188.3,440.715,5.84795,2.01343,49.4705
335,1218.29,1188.36,442.482,5.84961,1.82105,49.4631
336,1220.06,1188.41,444.249,5.85822,1.55371,49.3471
337,1221.82,1188.45,446.016,5.87395,1.43327,49.4534
338,1223.59,1188.49,447.784,5.89455,1.17203,49.4485
339,1224.91,1188.51,449.109,5.91537,0.911774,49.3351
340,1226.68,1188.54,450.876,5.95,0.650146,49.3321
341,1228.45,1188.55,452.642,5.99367,0.38858,49.3164
342,1230.22,1188.56,454.409,6.0453,0.126732,49.4383
343,1231.98,1188.56,456.176,6.104,0,49.4382
344,1233.31,1188.56,457.502,6.15071,359.802,49.4383
345,1235.08,1188.55,459.268,6.22039,359.612,49.4392
346,1236.85,1188.54,461.446,6.21408,359.477,49.4402
347,1238.62,1188.52,463.214,6.17667,359.351,49.4413
348,1240.38,1188.49,464.981,6.14317,359.224,49.4427
349,1242.15,1188.47,466.749,6.11271,359.224,49.4427
350,1243.48,1188.45,468.075,6.09039,359.089,49.4445
351,1245.24,1188.42,469.843,6.06396,358.963,49.4464
352,1247.01,1188.38,471.611,6.04144,358.828,49.4348
353,1248.78,1188.35,473.379,6.02407,358.708,49.3416
354,1250.55,1188.3,475.146,6.01061,358.573,49.3442
355,1252.31,1188.26,476.914,6.0002,358.44,49.4566
356,1253.64,1188.22,478.239,5.99486,358.312,49.3505
357,1255.41,1188.17,480.007,5.99141,358.177,49.3539
358,1257.17,1188.11,481.775,5.99197,358.052,49.4667
359,1258.94,1188.05,483.543,5.99547,358.06,49.4526
360,1260.27,1188.01,484.869,5.99819,358.052,49.4667
361,1262.03,1187.94,486.637,6.00181,358.06,49.4667
362,1263.8,1187.88,488.405,6.00531,358.052,49.453
